Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
Boyd Cantenac,Margaux,,Bordeaux,Red,2015,75cl,3,60.0,incl. VAT,
Doisy Daene,Sauternes,Extravagant,Bordeaux,Sweet,2002,37.5cl,2,175.0,incl. VAT,
Savart,Champagne,Ephemere 012 Rose,Champagne,Sparkling,NV,1.5L,1,150.0,incl. VAT,
Arnoux Lachaux,Nuits St Georges,,Bourgogne,Red,2018,75cl,6,370.0,incl. VAT,
Arnoux Lachaux,Nuits St Georges,,Bourgogne,Red,2019,75cl,6,370.0,incl. VAT,
Fleur Petrus,Pomerol,,Bordeaux,Red,2000,75cl,6,300.0,incl. VAT,
Clape,Cornas,,Rhône,Red,2020,75cl,2,120.0,incl. VAT,
Buisson Charles,Meursault,Vieilles Vignes,Bourgogne,White,2021,75cl,2,85.0,incl. VAT,
Roses Jeanne,Champagne,Cote Val Vilaine,Champagne,Sparkling,2019,75cl,1,190.0,incl. VAT,
Clape,,Vin des Amis,Rhône,Red,2020,75cl,2,50.0,incl. VAT,
Buisson Charles,Beaune 1er Cru,Vignes Franches,Bourgogne,Red,2021,75cl,2,60.0,incl. VAT,
Clos Fees,Cotes Roussillon Villages,Petite Siberie,Etoile Montante,Red,2020,75cl,6,200.0,incl. VAT,
Haut Brion,Pessac Leognan,,Bordeaux,Red,2019,75cl,6,500.0,incl. VAT,
Coulee Serrant,Savennieres Coulee Serrant,Clos Coulee Serrant,Etoile Montante,White,2017,75cl,3,90.0,incl. VAT,
Buisson Charles,Beaune 1er Cru,Teurons,Bourgogne,Red,2021,75cl,2,60.0,incl. VAT,
Lagrange,St Julien,,Bordeaux,Red,2016,75cl,10,60.0,incl. VAT,
Buisson Charles,Morey St Denis 1er Cru,,Bourgogne,Red,2021,75cl,1,110.0,incl. VAT,
Roc Cambes,Cotes Bourg,,Bordeaux,Red,2010,75cl,2,100.0,incl. VAT,
Gangloff,Condrieu,,Rhône,Red,2021,75cl,3,105.0,incl. VAT,
Drappier,Champagne,Grande Sendrée,Champagne,Sparkling,2010,75cl,2,80.0,incl. VAT,
Gangloff,Cote Rotie,Barbarine,Rhône,Red,2017,75cl,3,160.0,incl. VAT,
Buisson Charles,Pouilly Fuisse 1er Cru,Marechaude,Bourgogne,White,2021,75cl,2,60.0,incl. VAT,
Guiberteau,Saumur,Breze,Etoile Montante,White,2019,75cl,3,80.0,incl. VAT,
Buisson Charles,Pommard 1er Cru,Clos Micault,Bourgogne,Red,2021,75cl,2,95.0,incl. VAT,
Gangloff,Cote Rotie,Barbarine,Rhône,Red,2021,75cl,2,140.0,incl. VAT,
Gangloff,Condrieu,,Rhône,White,2022,75cl,2,105.0,incl. VAT,
Gangloff,Cote Rotie,Barbarine,Rhône,Red,2021,75cl,2,140.0,incl. VAT,
Hauvette,,Dolia,Etoile Montante,White,2016,75cl,6,60.0,incl. VAT,
Buisson Charles,Bourgogne,Aligote Hors Classe,Bourgogne,White,2021,75cl,3,40.0,incl. VAT,
Jardins Babylone,,Sec,Etoile Montante,White,2016,75cl,3,85.0,incl. VAT,
Gonon,St Joseph,Oliviers,Rhône,White,2021,75cl,1,85.0,incl. VAT,
Jean Bourdy,Cotes Jura,Vin Jaune,Etoile Montante,White,2009,75cl,1,90.0,incl. VAT,
Yquem,Sauternes,,Bordeaux,Sweet,1996,75cl,1,340.0,incl. VAT,
Labet,Cotes Jura,Chardonnay Champs Rouges,Etoile Montante,White,2019,75cl,1,,incl. VAT,
Gonon,,Iles Feray,Rhône,Red,2021,75cl,1,65.0,incl. VAT,
Yquem,Sauternes,,Bordeaux,Sweet,2005,75cl,2,330.0,incl. VAT,
Coche Dury,Meursault,,Bourgogne,White,2018,75cl,6,800.0,incl. VAT,
Gonon,St Joseph,,Rhône,Red,2021,75cl,1,95.0,incl. VAT,
Montus,Madiran,Tyre,Etoile Montante,Red,2007,75cl,1,110.0,incl. VAT,
Comte Liger Belair,Vosne Romanee,,Bourgogne,Red,2017,75cl,3,950.0,incl. VAT,
Comte Liger Belair,Nuits St Georges,,Bourgogne,Red,2017,75cl,3,850.0,incl. VAT,
Gonon,St Joseph,,Rhône,Red,2020,75cl,1,95.0,incl. VAT,
Comte Liger Belair,Vosne Romanee 1er Cru,Aux Brulees,Bourgogne,Red,2019,75cl,3,4200.0,incl. VAT,
Trevallon,,,Etoile Montante,White,2020,75cl,1,120.0,incl. VAT,
Marc Sorrel,Hermitage,,Rhône,White,2020,75cl,6,95.0,incl. VAT,
Denis Mortet,Gevrey Chambertin,Cinq Terroirs,Bourgogne,Red,2015,75cl,6,125.0,incl. VAT,
Marc Sorrel,Crozes Hermitage,,Rhône,White,2021,75cl,6,50.0,incl. VAT,
Leflaive,Puligny Monthrachet,,Bourgogne,White,2017,75cl,6,240.0,incl. VAT,
Meo Camuzet,Vosne Romanee 1er Cru,Aux Brulees,Bourgogne,Red,2019,75cl,3,800.0,incl. VAT,
Marc Sorrel,Hermitage,,Rhône,White,2021,75cl,3,120.0,incl. VAT,
Meo Camuzet,Vosne Romanee,,Bourgogne,Red,2019,75cl,3,200.0,incl. VAT,
Marc Sorrel,Crozes Hermitage,,Rhône,Red,2021,75cl,6,50.0,incl. VAT,
Rostaing,Condrieu,Bonnette,Rhône,White,2022,75cl,1,60.0,incl. VAT,
Meo Camuzet,Richebourg,,Bourgogne,Red,2019,75cl,3,1850.0,incl. VAT,
Mommessin,Clos Tart,,Bourgogne,Red,2017,75cl,6,550.0,incl. VAT,
Parent,Corton,,Bourgogne,White,2014,75cl,2,150.0,incl. VAT,
Raveneau,Chablis,Clos,Bourgogne,White,2019,75cl,6,1300.0,incl. VAT,
Raveneau,Chablis 1er Cru,Montee Tonnerre,Bourgogne,White,2019,75cl,12,400.0,incl. VAT,
Raveneau,Chablis 1er Cru,Foret,Bourgogne,White,2019,75cl,6,390.0,incl. VAT,
Trapet,Gevrey Chambertin 1er Cru,Capita,Bourgogne,Red,2019,75cl,2,160.0,incl. VAT,
d'Auvenay,,Meursault Pre Manche,Burgundy,White,2004,75cl,1,6821.1,ex-VAT,Loose
Bollinger,,La Grande Annee,Champagne,White,2005,1.5L,18,236.115,ex-VAT,OC
Bollinger,,Vv Francaises,Champagne,White,2006,75cl,7,1259.28,ex-VAT,OWC
Cheval Blanc,,,Bordeaux,Red,1955,1.5L,1,4722.3,ex-VAT,Loose
Cheval Blanc,,,Bordeaux,Red,1982,75cl,4,1023.165,ex-VAT,Loose
Cheval Blanc,,,Bordeaux,Red,1982,75cl,12,1154.34,ex-VAT,OWC
Clair Dau,,Bonnes Mares,Burgundy,Red,1978,75cl,5,2938.32,ex-VAT,Loose
Clair Dau,,Bonnes Mares,Burgundy,Red,1978,75cl,7,2938.32,ex-VAT,Loose
Domaine Leflaive,,Batard Montrachet,Burgundy,White,2006,1.5L,3,1888.92,ex-VAT,Loose
Domaine Leflaive,,Puligny Montrachet Pucelles,Burgundy,White,2005,75cl,12,550.935,ex-VAT,Loose
Georges Noellat,,Vosne Romanee Beaux Monts,Burgundy,Red,2014,1.5L,6,419.76,ex-VAT,OC
Georges Roumier,,Bonnes Mares,Burgundy,Red,1991,75cl,1,4459.95,ex-VAT,Loose
Georges Roumier,,Bonnes Mares,Burgundy,Red,2013,75cl,1,1049.3999999999999,ex-VAT,Loose
Haut Brion,,,Bordeaux,Red,1948,75cl,1,3148.2,ex-VAT,Loose
Haut Brion,,,Bordeaux,Red,1961,75cl,1,3148.2,ex-VAT,Loose
Haut Brion,,,Bordeaux,Red,1961,75cl,1,3148.2,ex-VAT,Loose
Haut Brion,,,Bordeaux,Red,1989,75cl,1,1783.98,ex-VAT,Loose
Haut Brion,,,Bordeaux,Red,1989,75cl,12,1888.92,ex-VAT,Loose
Joseph Drouhin,,Musigny,Burgundy,Red,2014,75cl,6,682.11,ex-VAT,OC
Lafite Rothschild,,,Bordeaux,Red,1987,75cl,1,472.23,ex-VAT,Loose
Lafleur,,,Bordeaux,Red,1978,75cl,2,1154.34,ex-VAT,Loose
Lafleur,,,Bordeaux,Red,1989,75cl,1,1259.28,ex-VAT,Loose
Latour,,,Bordeaux,Red,1961,75cl,6,8395.199999999999,ex-VAT,Loose
Leoville Las Cases,,,Bordeaux,Red,1982,75cl,12,445.995,ex-VAT,OWC
Margaux,,,Bordeaux,Red,1934,75cl,2,1731.5100000000002,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1947,75cl,1,3672.9,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1947,75cl,1,2623.5,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1959,75cl,4,3148.2,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1961,75cl,6,2098.7999999999997,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1961,1.5L,1,5771.7,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1982,75cl,6,891.99,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1986,75cl,32,472.23,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1986,75cl,2,445.995,ex-VAT,Loose
La Mission Haut Brion,,,Bordeaux,Red,1975,75cl,11,839.52,ex-VAT,Loose
La Mission Haut Brion,,,Bordeaux,Red,1975,75cl,1,944.46,ex-VAT,Loose
La Mission Haut Brion,,,Bordeaux,Red,1982,75cl,12,1259.28,ex-VAT,OWC
Moet & Chandon,,Dom Perignon Oenotheque,Champagne,White,1973,1.5L,1,5194.53,ex-VAT,OC_OWC
Moet & Chandon,,Dom Perignon Oenotheque,Champagne,White,1973,1.5L,1,5771.7,ex-VAT,OC_OWC
Mouton Rothschild,,,Bordeaux,Red,1934,75cl,1,2623.5,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1961,1.5L,3,12592.8,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1981,1.5L,3,682.11,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1982,75cl,1,996.9299999999998,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1982,75cl,9,891.99,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1989,75cl,12,3882.78,ex-VAT,OWC
Petrus,,,Bordeaux,Red,1989,75cl,12,3882.78,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2002,75cl,2,2308.68,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1989,75cl,6,3463.0200000000004,ex-VAT,Loose
Pio Cesare,,Barbaresco Bricco,Piedmont,Red,2013,75cl,36,65.0628,ex-VAT,OWC
Ramonet,,Montrachet,Burgundy,White,2004,75cl,1,2938.32,ex-VAT,Loose
Ramonet,,Montrachet,Burgundy,White,1995,75cl,3,2780.91,ex-VAT,Loose
Ramonet,,Montrachet,Burgundy,White,1999,75cl,1,3515.49,ex-VAT,Loose
Rayas,,Chateauneuf Du Pape,Rhone,Red,1990,75cl,1,3672.9,ex-VAT,Loose
Yquem,,,Bordeaux,White,1947,75cl,1,4722.3,ex-VAT,Loose
Rene Engel,,Grands Echezeaux,Burgundy,Red,2003,75cl,6,2098.7999999999997,ex-VAT,OC
Cheval Blanc,,,Bordeaux,Red,2008,75cl,60,419.76,ex-VAT,OWC
Armand Rousseau,,Chambertin,Burgundy,Red,2011,1.5L,3,4722.3,ex-VAT,Loose
Comte Vogue,,Musigny Vv,Burgundy,Red,2014,1.5L,2,1206.81,ex-VAT,OWC
Emmanuel Rouget,,Echezeaux,Burgundy,Red,2015,75cl,12,944.46,ex-VAT,OC
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,2015,75cl,6,367.29,ex-VAT,OWC
Mommessin,,Clos Tart,Burgundy,Red,2014,75cl,24,377.78400000000005,ex-VAT,OWC
Comte Liger Belair,,Romanee,Burgundy,Red,2013,75cl,6,4092.66,ex-VAT,OWC
Billecart Salmon,,Nicolas Francois,Champagne,White,2002,75cl,24,136.42200000000003,ex-VAT,OC
Bollinger,,Vv Francaises,Champagne,White,2005,75cl,1,1049.3999999999999,ex-VAT,OC_OWC
Moet & Chandon,,Grand V,Champagne,White,2008,75cl,4,62.964,ex-VAT,GB_OC
Pommery,,Louise,Champagne,White,2002,75cl,59,89.199,ex-VAT,OC
Salon,,Mesnil,Champagne,White,1996,75cl,3,1311.75,ex-VAT,OWC
Salon,,Mesnil,Champagne,White,1996,75cl,18,1311.75,ex-VAT,OWC
Salon,,Mesnil,Champagne,White,1996,75cl,1,1311.75,ex-VAT,OWC
Elio Altare,,Barolo Cerretta Vigna Bricco,Piedmont,Red,2010,75cl,12,104.94,ex-VAT,OC
Pio Cesare,,Barolo Ornato,Piedmont,Red,2012,75cl,66,59.8158,ex-VAT,OWC
Tua Rita,,Redigaffi,Tuscany,Red,2015,75cl,12,141.66899999999998,ex-VAT,OWC
Krug,,Grand Cuvee Edition 164,Champagne,White,NV,75cl,24,335.808,ex-VAT,GB_OC
Le Pin,,,Bordeaux,Red,2000,75cl,9,3095.73,ex-VAT,Loose
Domaine Ponsot,,Griotte Chambertin,Burgundy,Red,1993,75cl,5,787.05,ex-VAT,Loose
DRC,,La Tache,Burgundy,Red,1994,75cl,3,3830.3100000000004,ex-VAT,Loose
DRC,,Echezeaux,Burgundy,Red,1988,75cl,2,2203.74,ex-VAT,Loose
Latour,,,Bordeaux,Red,1982,75cl,3,1836.45,ex-VAT,Loose
Latour,,,Bordeaux,Red,1982,75cl,24,1836.45,ex-VAT,Loose
Latour,,,Bordeaux,Red,1982,75cl,2,1836.45,ex-VAT,Loose
Latour,,,Bordeaux,Red,1982,75cl,10,1521.63,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1982,75cl,12,1101.87,ex-VAT,OWC
Mouton Rothschild,,,Bordeaux,Red,1982,75cl,36,1075.635,ex-VAT,OWC
Krug,,Vintage Brut,Champagne,White,1973,75cl,2,1574.1,ex-VAT,Loose
Talisker,,30YO,Scotland,,2021,70cl,42,682.11,ex-VAT,GB_OC
Jacques Selosse,,Blanc de Blancs Brut,Champagne,White,1995,75cl,1,2098.7999999999997,ex-VAT,Loose
DRC,,Romanee Conti,Burgundy,Red,1990,75cl,3,23086.8,ex-VAT,Loose
Coche Dury,,Meursault Blanc,Burgundy,White,2013,75cl,1,944.46,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1986,75cl,6,734.58,ex-VAT,Loose
Mouton Rothschild,,,Bordeaux,Red,1986,75cl,24,734.58,ex-VAT,Loose
Comte Liger Belair,,Romanee,Burgundy,Red,2012,75cl,6,4197.599999999999,ex-VAT,Loose
Domaine Leroy,,Vosne Romanee Beaumonts,Burgundy,Red,2009,75cl,2,4459.95,ex-VAT,Loose
Domaine Leroy,,Vosne Romanee Beaumonts,Burgundy,Red,2009,75cl,1,4459.95,ex-VAT,Loose
Masseto,,,Tuscany,Red,2014,75cl,1,603.405,ex-VAT,OWC
Lafite Rothschild,,,Bordeaux,Red,1986,75cl,4,787.05,ex-VAT,Loose
DRC,,La Tache,Burgundy,Red,1993,75cl,6,5771.7,ex-VAT,Loose
Louis Roederer,,Brut Rose,Champagne,Rosé,2008,75cl,62,104.94,ex-VAT,GB_OC
d'Auvenay,,Meursault Narvaux Blanc,Burgundy,White,1999,75cl,2,5509.35,ex-VAT,Loose
d'Auvenay,,Meursault Narvaux Blanc,Burgundy,White,2005,75cl,3,6558.750000000001,ex-VAT,Loose
